time,tau_inv1,tau_inv2,tau_lf1,tau_lf2,dcn1,dcn2,control_input1,control_input2
0.02,0.20161999999999999,0.20161999999999999,0.0099005399792346706,-0.006388727232199725,0.0,0.0,0.0099005399792346706,-0.006388727232199725
0.04,0.20161999999999999,0.20161999999999999,0.0071314201329358683,-0.033610410379053393,0.0,0.0,0.0071314201329358683,-0.033610410379053393
0.06,0.20161999999999999,0.20161999999999999,0.012192913228104247,-0.035872937396364907,0.0,0.0,0.012192913228104247,-0.035872937396364907
0.08,0.20161999999999999,0.20161999999999999,0.02297591938946493,-0.058800022798716413,0.0,0.0,0.02297591938946493,-0.058800022798716413
0.1,0.20161999999999999,0.20161999999999999,0.030566821295615679,-0.084477956671231078,0.0,0.0,0.030566821295615679,-0.084477956671231078
0.12000000000000001,0.20161999999999999,0.20161999999999999,0.035714910428516392,-0.10957811210672198,0.0,0.0,0.035714910428516392,-0.10957811210672198
0.14,0.20161999999999999,0.20161999999999999,0.035172665945579024,-0.13664101882727711,0.0,0.0,0.035172665945579024,-0.13664101882727711
0.16,0.20161999999999999,0.20161999999999999,0.033722249403357621,-0.17683879209017006,0.0,0.0,0.033722249403357621,-0.17683879209017006
0.18,0.20161999999999999,0.20161999999999999,0.035680810888114645,-0.17558361981505802,0.0,0.0,0.035680810888114645,-0.17558361981505802
0.19999999999999998,0.20161999999999999,0.20161999999999999,0.044019177233604191,-0.20011445213939041,0.0,0.0,0.044019177233604191,-0.20011445213939041
0.21999999999999997,0.20161999999999999,0.20161999999999999,0.044897253469778388,-0.19823883681740703,0.0,0.0,0.044897253469778388,-0.19823883681740703
0.23999999999999996,0.20161999999999999,0.20161999999999999,0.037816422407489544,-0.17494136710546457,0.0,0.0,0.037816422407489544,-0.17494136710546457
0.25999999999999995,0.20161999999999999,0.20161999999999999,0.056020287717472216,-0.17462145482271593,0.0,0.0,0.056020287717472216,-0.17462145482271593
0.27999999999999997,0.20161999999999999,0.20161999999999999,0.060159890680367402,-0.16726407668406701,0.0,0.0,0.060159890680367402,-0.16726407668406701
0.3,0.20161999999999999,0.20161999999999999,0.035091280235363474,-0.15636411860807914,0.0,0.0,0.035091280235363474,-0.15636411860807914
0.32,0.20161999999999999,0.20161999999999999,0.054752786999726639,-0.16329780589756601,0.0,0.0,0.054752786999726639,-0.16329780589756601
0.34,0.20161999999999999,0.20161999999999999,0.057442671847070421,-0.15499443499324672,0.0,0.0,0.057442671847070421,-0.15499443499324672
0.36000000000000004,0.20161999999999999,0.20161999999999999,0.064598824354788378,-0.14361601943342753,0.0,0.0,0.064598824354788378,-0.14361601943342753
0.38000000000000006,0.20161999999999999,0.20161999999999999,0.066788612819754928,-0.13267112734884956,0.0,0.0,0.066788612819754928,-0.13267112734884956
0.4000000000000001,0.20161999999999999,0.20161999999999999,0.066135498700555281,-0.11800205921829794,0.0,0.0,0.066135498700555281,-0.11800205921829794
0.4200000000000001,0.20161999999999999,0.20161999999999999,0.059902708454430423,-0.11986105893424061,0.0,0.0,0.059902708454430423,-0.11986105893424061
0.4400000000000001,0.20161999999999999,0.20161999999999999,0.059750604681236143,-0.090138692717624258,0.0,0.0,0.059750604681236143,-0.090138692717624258
0.46000000000000013,0.20161999999999999,0.20161999999999999,0.057992628294117797,-0.062319261846371293,0.0,0.0,0.057992628294117797,-0.062319261846371293
0.48000000000000015,0.20161999999999999,0.20161999999999999,0.062034817067600952,-0.037100168264772242,0.0,0.0,0.062034817067600952,-0.037100168264772242
0.5000000000000001,0.20161999999999999,0.20161999999999999,0.073333615574571659,-0.043271967393978421,0.0,0.0,0.073333615574571659,-0.043271967393978421
0.5200000000000001,0.20161999999999999,0.20161999999999999,0.062923436508643002,-0.013149686561449592,0.0,0.0,0.062923436508643002,-0.013149686561449592
0.5400000000000001,0.20161999999999999,0.20161999999999999,-0.024479221359402153,0.0058602728216648097,0.0,0.0,-0.024479221359402153,0.0058602728216648097
0.5600000000000002,0.20161999999999999,0.20161999999999999,-0.044953381447741171,0.052452714339175935,0.0,0.0,-0.044953381447741171,0.052452714339175935
0.5800000000000002,0.20161999999999999,0.20161999999999999,-0.049007096489925392,0.095449922927899805,0.0,0.0,-0.049007096489925392,0.095449922927899805
0.6000000000000002,0.20161999999999999,0.20161999999999999,-0.04770868798503556,0.13690877051006106,0.0,0.0,-0.04770868798503556,0.13690877051006106
0.6200000000000002,0.20161999999999999,0.20161999999999999,-0.044058791652856824,0.16762410543469927,0.0,0.0,-0.044058791652856824,0.16762410543469927
0.6400000000000002,0.20161999999999999,0.20161999999999999,-0.041052284393630005,0.19881171143882562,0.0,0.0,-0.041052284393630005,0.19881171143882562
0.6600000000000003,0.20161999999999999,0.20161999999999999,-0.027607366280199649,0.19697881013496132,0.0,0.0,-0.027607366280199649,0.19697881013496132
0.6800000000000003,0.20161999999999999,0.20161999999999999,-0.013585842884402262,0.23315229510327473,0.0,0.0,-0.013585842884402262,0.23315229510327473
0.7000000000000003,0.20161999999999999,0.20161999999999999,-0.0086178488659064238,0.24892229934680346,0.0,0.0,-0.0086178488659064238,0.24892229934680346
0.7200000000000003,0.20161999999999999,0.20161999999999999,-0.00071041056998790808,0.2309141141784955,0.0,0.0,-0.00071041056998790808,0.2309141141784955
0.7400000000000003,0.20161999999999999,0.20161999999999999,0.0066263568665849565,0.22924097123900736,0.0,0.0,0.0066263568665849565,0.22924097123900736
0.7600000000000003,0.20161999999999999,0.20161999999999999,0.0021731988816368186,0.24971309179248957,0.0,0.0,0.0021731988816368186,0.24971309179248957
