time,tau_inv1,tau_inv2,tau_lf1,tau_lf2,dcn1,dcn2,control_input1,control_input2
0.02,0.20161999999999999,0.20161999999999999,0.02477995338780925,-0.0082639225159064633,0.0,0.0,0.02477995338780925,-0.0082639225159064633
0.04,0.20161999999999999,0.20161999999999999,0.024785093350461862,-0.043915894338529382,0.0,0.0,0.024785093350461862,-0.043915894338529382
0.06,0.20161999999999999,0.20161999999999999,0.056057914086287797,-0.084890394961302462,-0.0,-0.0,0.056057914086287797,-0.084890394961302462
0.08,0.20161999999999999,0.20161999999999999,0.093317042894874414,-0.12253578834952705,0.0,-0.0,0.093317042894874414,-0.12253578834952705
0.1,0.20161999999999999,0.20161999999999999,0.086824435059954297,-0.15777096307503014,0.0,-0.0,0.086824435059954297,-0.15777096307503014
0.12000000000000001,0.20161999999999999,0.20161999999999999,0.10150320656842093,-0.18025966448536468,0.0,-0.0,0.10150320656842093,-0.18025966448536468
0.14,0.20161999999999999,0.20161999999999999,0.13779235395064937,-0.19957149110343453,0.0,-0.0,0.13779235395064937,-0.19957149110343453
0.16,0.20161999999999999,0.20161999999999999,0.14262027911308439,-0.20716402271143974,0.0,-0.0,0.14262027911308439,-0.20716402271143974
0.18,0.20161999999999999,0.20161999999999999,0.13685374386483695,-0.23143447911972514,0.0,-0.0,0.13685374386483695,-0.23143447911972514
0.19999999999999998,0.20161999999999999,0.20161999999999999,0.12458417366426122,-0.24027099840389576,0.0,-0.0,0.12458417366426122,-0.24027099840389576
0.21999999999999997,0.20161999999999999,0.20161999999999999,0.099460339431114209,-0.22737352274209921,0.0,-0.0,0.099460339431114209,-0.22737352274209921
0.23999999999999996,0.20161999999999999,0.20161999999999999,0.10126338233542564,-0.23804208510212899,0.0,-0.0,0.10126338233542564,-0.23804208510212899
0.25999999999999995,0.20161999999999999,0.20161999999999999,0.089592762462564535,-0.23129824352512296,0.0,-0.0,0.089592762462564535,-0.23129824352512296
0.27999999999999997,0.20161999999999999,0.20161999999999999,0.11162938178013393,-0.22709905753473381,0.0,-0.0,0.11162938178013393,-0.22709905753473381
0.3,0.20161999999999999,0.20161999999999999,0.14203490581643519,-0.22310221436127242,0.0,-0.0,0.14203490581643519,-0.22310221436127242
0.32,0.20161999999999999,0.20161999999999999,0.17237320514578913,-0.20492219390822131,0.0,-0.0,0.17237320514578913,-0.20492219390822131
0.34,0.20161999999999999,0.20161999999999999,0.24617469487233112,-0.17969868910036135,0.0,-0.0,0.24617469487233112,-0.17969868910036135
0.36000000000000004,0.20161999999999999,0.20161999999999999,0.0094817741166721703,-0.15745326777748314,0.0,-0.0,0.0094817741166721703,-0.15745326777748314
0.38000000000000006,0.20161999999999999,0.20161999999999999,-0.19151527793574474,-0.083818492912818066,-0.0,-0.0,-0.19151527793574474,-0.083818492912818066
0.4000000000000001,0.20161999999999999,0.20161999999999999,-0.23984145982325411,-0.046186879577826856,0.0,-0.0,-0.23984145982325411,-0.046186879577826856
0.4200000000000001,0.20161999999999999,0.20161999999999999,-0.25507671852111513,-0.034205786678989769,0.0,-0.0,-0.25507671852111513,-0.034205786678989769
0.4400000000000001,0.20161999999999999,0.20161999999999999,-0.23450376788986915,-0.017339451505971493,0.0,-0.0,-0.23450376788986915,-0.017339451505971493
0.46000000000000013,0.20161999999999999,0.20161999999999999,-0.18969383094548964,-0.00018949358964315266,-0.0,-0.0,-0.18969383094548964,-0.00018949358964315266
0.48000000000000015,0.20161999999999999,0.20161999999999999,-0.14813076717124951,0.013424241430468387,-0.0,-0.0,-0.14813076717124951,0.013424241430468387
0.5000000000000001,0.20161999999999999,0.20161999999999999,-0.077190525317845315,0.044129069980464619,0.0,0.0,-0.077190525317845315,0.044129069980464619
0.5200000000000001,0.20161999999999999,0.20161999999999999,0.005998563930655898,0.07667883231169359,0.0,0.0,0.005998563930655898,0.07667883231169359
0.5400000000000001,0.20161999999999999,0.20161999999999999,0.032876193628446515,0.067639758077444156,0.0,0.0,0.032876193628446515,0.067639758077444156
0.5600000000000002,0.20161999999999999,0.20161999999999999,0.05895940006830136,0.086081358316337786,-0.0,-0.0,0.05895940006830136,0.086081358316337786
0.5800000000000002,0.20161999999999999,0.20161999999999999,0.07532600287842528,0.15989494672893456,-0.0,-0.0,0.07532600287842528,0.15989494672893456
0.6000000000000002,0.20161999999999999,0.20161999999999999,0.079815090685410928,0.20428376750653077,0.0,0.0,0.079815090685410928,0.20428376750653077
0.6200000000000002,0.20161999999999999,0.20161999999999999,0.067669377916368623,0.24029855666505484,0.0,0.0,0.067669377916368623,0.24029855666505484
0.6400000000000002,0.20161999999999999,0.20161999999999999,0.051986623574242996,0.26689239832847456,0.0,0.0,0.051986623574242996,0.26689239832847456
0.6600000000000003,0.20161999999999999,0.20161999999999999,0.051843085497138341,0.24762346194304929,-0.0,-0.0,0.051843085497138341,0.24762346194304929
0.6800000000000003,0.20161999999999999,0.20161999999999999,0.066886108098762609,0.28395781185501501,-0.0,-0.0,0.066886108098762609,0.28395781185501501
0.7000000000000003,0.20161999999999999,0.20161999999999999,0.091414343204470949,0.29209494400868308,0.0,0.0,0.091414343204470949,0.29209494400868308
0.7200000000000003,0.20161999999999999,0.20161999999999999,0.097927476322823725,0.28983785646615257,0.0,0.0,0.097927476322823725,0.28983785646615257
0.7400000000000003,0.20161999999999999,0.20161999999999999,0.08551094008892024,0.25555467346762573,0.0,0.0,0.08551094008892024,0.25555467346762573
0.7600000000000003,0.20161999999999999,0.20161999999999999,0.048666018623376939,0.27035892694756214,-0.0,-0.0,0.048666018623376939,0.27035892694756214
